Processing file,Reading requirements file (s),Parsing requirements (s),Fetching versions and dependencies (s),Fetching transitive dependencies (s),Processing folder error,Generating SMT expression (s),Proof for UNSAT (s),Solving SMT expression (s),Generating requirements.txt (s),Total (s)
1.docker-py,0,0,0,0,,0.015630484,,0,0,0.015630484
10.gitfs,0.002237082,0,0.002639294,0,,0.01139617,,0,0.008417606,0.024690151
100.requests,0,0,0,0,,0.047700167,,0.016708374,0.001029253,0.065437794
101.piqueserver,0,0,0,0,,0,,0.003997564,0.000999212,0.004996777
103.allennlp,0,0,0.022615433,,maximum recursion depth exceeded,,,,,0.022615433
104.trinity,0.013050079,0,0,0,,,,,,0.013050079
105.pip-tools,0.015674591,0,0,0,,0.297729254,,0.078510523,0.001225471,0.393139839
107.glue,0.002549648,0,0,0,,,,,,0.002549648
108.yotta,0.002408028,0,0,0,,,,,,0.002408028
109.pip-tools,0.001014471,0,0,0,,0.314776182,,0.062886477,0,0.37867713
111.valinor,0.017898798,0,0,0.004740715,,0.328779697,,0.062559128,0.028856993,0.442835331
112.glue,0.055931091,0,0,0,,0.027962685,,0.005994797,0,0.089888573
113.molecule,0.008382559,0,0.00309515,,maximum recursion depth exceeded,,,,,0.011477709
114.trinity,0,0,0,0,,,,,,0
116.plone.importexport,0.009225607,0,0.002102137,0,,0.003960371,,0,0.000988245,0.01627636
118.pydgraph,0.003682375,0,0.001012325,0.017032623,,1.168899298,,0.046831846,0,1.237458467
119.moto,0.019382,0,0.001000404,0.008851528,,0.375328064,,0.062974453,0,0.467536449
12.connexion,0.009842873,0,0,0.10755825,,6.434714317,,0.676080465,0,7.228195906
120.docker-py,0.005646944,0,0,0,,0,,0,0,0.005646944
122.gbdxtools,0.099904537,0,0,2.081672907,,22.10139537,,2.534347057,0,26.81731987
123.esgf-prepare,0.003593206,0,0,0.037321806,,1.247507095,,0.157324791,0,1.445746899
124.yotta,0.000951052,0,0,0,,,,,,0.000951052
125.molecule,0.007039547,0,0,,maximum recursion depth exceeded,,,,,0.007039547
126.python-myusps,0,0,0.011564732,0,,0.005224466,,0.002048969,0.000985861,0.019824028
127.pydgraph,0.001594782,0.001013756,0.001028538,0.026337624,,1.165907621,,0.062905073,0,1.258787394
128.valinor,0.019524813,0,0.001003027,0.007402658,,0.326000214,,0.059467554,0.015554428,0.428952694
13.yotta,0,0,0,0,,,,,,0
130.certbot,0.010378122,0,0,0.029504538,,2.933832407,,0.200451136,0,3.174166203
131.certbot,0.026191711,0,0.001171112,0.043123007,,3.207448006,,0.267281055,0.01572752,3.560942411
132.bcbio-nextgen,0.008803844,0,0,0,,0.004799843,,0,0,0.013603687
133.botocore,0.0120399,0,0.001507044,0.001001358,,0.120179415,,0.01567626,0,0.150403976
135.yotta,0,0,0,0,,,,,,0
136.gitfs,0,0,0.001649618,0,,0.00624752,,0,0,0.007897139
137.channels,0.005586147,0,0,0.03567481,,2.404226065,,0.094249725,0,2.539736748
138.pyhelm,0.008688688,0,0.004039049,0.003196955,,0.029028416,,0.01559639,0,0.060549498
139.moviepy,0.030229568,0,0.001012087,0.002063274,,0.994548082,,0.126004934,0.001043081,1.154901028
140.charm-tools,0.011568308,0,0,0.078510523,,3.118391037,,0.309011221,0,3.517481089
141.Zappa,0.009926796,0,0.004985332,0.011706352,,0.630397081,,0.188411474,0,0.845427036
142.botocore,0.012184381,0,0.001112223,0,,0.074263096,,0.016545057,0.000992775,0.105097532
143.esgf-prepare,0.001698017,0,0.000997305,0.050565481,,1.417947054,,0.156716585,0,1.627924442
145.docker-py,0.016742945,0,0.001035452,0,,0.00349164,,0.004281521,0.033180475,0.058732033
146.rasa,0.03318119,0,0.018558979,0.03678751,,1.541867018,,0.189137936,0.000999451,1.820532084
147.allennlp,0.010454178,0,0,,maximum recursion depth exceeded,,,,,0.010454178
148.firebase-admin-python,0.015624046,0,0.011003733,0.567682266,,22.67844129,,3.742980957,0.001291037,27.01702332
149.endpoints-python,0.005917549,0,0.000991583,0.001002073,,0.038959026,,0.030102491,0,0.076972723
15.python-django,0.019849062,0.001002789,0,0,,0.008204699,,0.004170418,0,0.033226967
150.docker-py,0.007312298,0,0.002004385,0,,0.006614447,,0.002957821,0,0.01888895
151.reana,0.016018152,0,0,0,,0.008819818,,0.004879475,0.00096035,0.030677795
152.pyscaffold,0.003838778,0,0,0,,0.016747475,,0.003969669,0,0.024555922
153.spaCy,0.008335829,0.000622034,0.003004551,0.035248518,,2.526003122,,0.188719034,0,2.761933088
154.pip-tools,0.018777132,0.000977039,0,0.000987053,,0.017683983,,0.007781982,0,0.04620719
155.django-google-analytics,0.123821735,0,0.001005173,,maximum recursion depth exceeded,,,,,0.124826908
157.rasa,0.011604548,0.000540733,0.001016855,1.788077831,,16.53518796,,2.064113379,0.001260519,20.40180182
158.moto,,0,0.012872458,2.131604195,,29.5851233,,3.68443346,0.002180576,35.41621399
159.docker-py,0,0,0,0,,0.020049095,,0.001096725,0,0.021145821
160.moto,0.018150568,0,0.005301714,0.05168581,,2.39111042,,0.486903429,0.001150608,2.954302549
161.datapackage-py,0.036681652,,0.001484871,,maximum recursion depth exceeded,,,,,0.038166523
162.loguru,0.052879333,0,0,0,,0,,0.013689518,0,0.066568851
163.kwalitee,0.010643721,0,0.000763893,,maximum recursion depth exceeded,,,,,0.011407614
165.rasa,0.052281618,0,0.002479792,0.066224098,b'there is no current proof',3.460710287,,,,3.581695795
166.dal_admin_filters,0.021032095,0,0.000535727,0,,0.005573511,,0.00198555,0.001009703,0.030136585
167.botocore,0.003982782,0,0.005138874,0.002012491,,0.137787819,,0.015693188,0,0.164615154
17.certbot,0.022189617,0,0,0.026359081,,2.914324045,,0.157814503,0,3.120687246
170.pyce,0.043815613,0,0,0,,0,,0,0,0.043815613
171.channels,0.00658989,0,0.00100708,0.020030975,,2.453682423,,0.078694582,0.001045704,2.561050653
172.requests,0,0,0.005729914,0,,0.018493652,,0.008583307,0,0.032806873
173.jaeger-client-python,0.00766468,0,0,0.001001835,,0.034284592,,0,0,0.042951107
174.certbot,0.014480352,0,0,0.12490654,,10.88937044,,0.424671412,0,11.45342875
175.awx,,0,0,0,,,,,,0
176.Zappa,0.009941101,0,0.005769014,0.0117805,,0.478426218,,0.141127825,0,0.647044659
178.demos,0,0,0,0,,0.015675545,0.402714252,,,0.418389797
180.allennlp,0,0,0,,maximum recursion depth exceeded,,,,,0
181.bcbio-nextgen,0.015673637,0,0,0,,0.012892246,,0.00280118,0,0.031367064
183.python-pcl,0.01278758,0,0,0,,0.038726807,,0.015817165,0.019248009,0.086579561
184.mazer,0,0,0,0.016596317,,0.271472931,,0.031250715,0,0.319319963
185.bcbio-nextgen,0.015765429,0,0,0,,0,,0.00944066,0,0.025206089
187.reana-workflow-controller,0.012131691,0,0.001798391,0.061551809,,4.42131567,,0.345636368,0,4.842433929
19.ckan,0.045608044,0,0,0,,0.224684954,1.042105913,,,1.312398911
190.spaCy,0,0,0.015607119,0.12675643,,5.738548994,,0.294904947,0.001051426,6.176868916
192.tfx,0,0,0,,maximum recursion depth exceeded,,,,,0
193.moto,0,0,0.020614386,0.06734252,,2.767192364,,0.345995426,0.000959635,3.20210433
194.the-law-factory-parser,0.007710695,0,0,0,,0,,0,0.001507044,0.009217739
195.bcbio-nextgen,0.008230686,0,0.000407457,0,,0,,0,0,0.008638144
196.geopandas,0.008262634,0,0.001001596,0.020019293,,2.777645588,,0.370905161,0.000998259,3.178832531
197.landlab,0.033764839,0,0,0.233753681,,10.27768397,,0.659082413,0,11.20428491
199.sentry-python,0.008121014,0,0,0,,0.028780937,,0.012686253,0.001040697,0.050628901
2.docker-py,0.00202322,0,0.00099802,0,,0.009352207,,0.005050898,0,0.017424345
20.ansible,0.052821398,0,0,0.029316902,,1.388378382,,0.120507717,0,1.591024399
200.certbot,0.01835084,0,0,0.037944078,,11.49783087,,0.639362335,0.001999855,12.19548798
202.Distributed-Jmeter,0.049818277,0.012015581,0.203362465,,maximum recursion depth exceeded,,,,,0.265196323
203.jaeger-client-python,0,0,0,0,,0.090286255,,0.01277256,0.030918837,0.133977652
204.crossbar,0.019275188,0.012018442,0.010997772,0.037276983,,2.333059072,2.402077913,,,4.814705372
205.reana-workflow-controller,0.015661478,0,0.015614986,0.504803181,,15.12766695,,0.81975317,0,16.48349977
206.dvc,0.007983685,0,0.0050385,0.375496149,,17.18841147,,1.28315711,0.025438786,18.8855257
208.bookstore,0.003440142,0,0.0217278,,maximum recursion depth exceeded,,,,,0.025167942
21.allennlp,0.020424128,0,0.007427216,,maximum recursion depth exceeded,,,,,0.027851343
211.docker-py,0,0,0.013092279,0,,0.009274721,,0.005029678,0.000284672,0.027681351
24.django-storages,0.002175331,0,0,0.030108213,,2.582151413,,0.077061176,0,2.691496134
25.Tax-Brain,0.013143778,0,0,0.05332303,,2.007660151,,0.107300758,0,2.181427717
27.allennlp,0.011332989,0.001013517,0.011000156,,maximum recursion depth exceeded,,,,,0.023346663
28.pip-tools,0.029373646,0,0,0.009789944,,0.368106365,,0.049261808,0,0.456531763
29.pip-tools,0.002784491,0,0.000986338,0.006015301,,0.335296631,,0.046885729,0,0.391968489
3.apispec-oneofschema,0.015653372,0,0,0.009525537,,0.423544884,,0.031233311,0,0.479957104
30.pyhelm,0.009041786,0,0.0035882,0.002009869,,0.045300484,,0.011636496,0,0.071576834
31.spinningup,0.007811069,0,0,0,,0,,0.003010988,0.000959873,0.011781931
32.bcbio-nextgen,0.008274078,0,0.001128435,0,,0.007706165,,0.003002405,0,0.020111084
34.certbot,0.030112028,0,0,0.07687211,,3.554665089,,0.191461563,0,3.85311079
35.yotta,0.024432182,0,0,0,,,,,,0.024432182
36.gallery-dl,0.008140326,0,0.000878334,0.018186569,,0.296285629,,0.027816296,0,0.351307154
39.python-sdk,0.007479906,0,0.001004219,0.013992786,,0.327518463,,0.043394327,0,0.393389702
4.tableschema-py,0.008990288,0,0.000997782,0.278380156,,9.305776119,,0.615447998,0.000982285,10.21057463
40.tmtk,0.019934654,0,0.001991749,,maximum recursion depth exceeded,,,,,0.021926403
41.certbot,0.031045198,0,0.001389027,0.033133984,,3.835774422,,0.182517052,0.001012564,4.084872246
42.snapcraft,0.008005619,0,0.002998114,0.020571232,,0.279305935,,0.019425154,0,0.330306053
43.kube-hunter,0.013352156,0,0.001011848,0.018830538,,0.476990461,,0.078626633,0,0.588811636
45.vector-datasource,0.009529352,0.001002312,0.004005432,0,,0.015378237,0.951466322,,,0.981381655
47.dvc,0.048820257,0,0.001723051,,maximum recursion depth exceeded,,,,,0.050543308
48.rasa,0,0,0.013166189,0.043735266,,1.723229408,1.099441767,,,2.87957263
5.datapackage-py,0.00842762,0,0,0.303075075,,9.827689648,,0.763537884,0.001994848,10.90472507
50.rasa,0.037688732,0.001000404,0.010017872,0.044599771,,2.184607983,1.313475609,,,3.591390371
51.certbot,0.004034996,0,0,0.193664074,,13.830194,,0.512712717,0,14.54060578
52.moto,0.014423609,0,0,0.017678499,,0.409530163,,0.055416107,0.000999928,0.498048306
53.botocore,0.010583639,0,0.002033949,0,,0.009315968,,0.004011154,0,0.02594471
54.reana-workflow-controller,0.044364452,0,0.000994921,0.134640694,,9.024160624,,0.517205954,0,9.721366644
57.pyswarms,0.008009672,0,0.003003359,0,,0.013879299,0.85555768,,,0.88045001
58.certbot,0.120996714,0,0.001512289,0.020006657,,3.126307249,,0.172762632,0,3.441585541
59.yellowbrick,0.00528574,0,0,0.039640427,,2.490219831,,0.236158848,0.000997066,2.772301912
6.spaCy,0.01699543,0,0.003996611,0.06734252,,3.187957525,,0.240441561,0,3.516733646
60.knowit,0.015505314,0,0,0.015757561,,0.733685255,,0.066628933,0.00097084,0.832547903
61.piqueserver,0.012410164,0,0,0.050635099,,1.974405766,,0.165317774,0.001972914,2.204741716
62.commcare-cloud,0.038605213,0,0.011052132,0.021068335,,1.115499735,1.13367486,,,2.319900274
63.bcbio-nextgen,0.023859978,0,0.011719704,,maximum recursion depth exceeded,,,,,0.035579681
65.kinto,0.049283743,0,0.017538548,0.071981668,,14.96704483,1.558571815,,,16.6644206
66.molecule,0.00104785,0.008843184,0.002344608,,maximum recursion depth exceeded,,,,,0.012235641
67.ngraph-python,0.021508694,0.001003027,0.008329391,0.157078981,,18.53635979,2.33980298,,,21.06408286
68.tlbc-monitor,0.013132811,0,0,,maximum recursion depth exceeded,,,,,0.013132811
7.molecule,0.001670837,0,0.003662109,,maximum recursion depth exceeded,,,,,0.005332947
72.pip-tools,0,0,0,0,,0.021942616,,0.005996227,0.000965834,0.028904676
73.gallery-dl,0.001997232,0,0,0.02615571,,0.536779642,,0.030965328,0.001015663,0.596913576
74.spaCy,0.016233921,0,0.007105827,0.095687389,,5.117277622,,0.526721478,0.000999928,5.764026165
75.connexion,0.01099968,0,0.000998259,0.223351479,,7.783297777,,0.547352314,0,8.565999508
78.gitfs,0.011428118,0,0,0,,0.01193428,,0.00300169,0,0.026364088
79.hangoutsbot,0,0,0,0,,,,,,0
8.commis,0.020292044,0,0.001590729,0,,0.008994102,,0.0030334,0.001000404,0.034910679
80.kwalitee,0.010020494,0,0,,maximum recursion depth exceeded,,,,,0.010020494
82.endpoints-python,0.007924318,0,0.001002312,0,,0.058887005,,0.017092705,0.00095582,0.08586216
83.enochecker,0.009388447,0,0.005001307,0.009013176,,0.473561287,1.004181862,,,1.501146078
85.knowit,0,0,0,0.013779402,,0.858698845,,0.084525824,0,0.95700407
86.knowit,0,0,0,0.022436857,,0.728786707,,0.089111567,0,0.840335131
87.pynwb,0.018390656,0,0,0.053741217,,1.353003025,1.174325705,,,2.599460602
88.hknweb,0.050419092,0,0,0,,0.010014772,,0.004000425,0.001011133,0.065445423
89.bcbio-nextgen,0.002006531,0,0,0,,0.010037899,,0.005223513,0,0.017267942
90.ckan,0.001006126,0,0,0,,,,,,0.001006126
91.nucypher,0.035118341,0,0.003004551,,maximum recursion depth exceeded,,,,,0.038122892
92.pip-tools,0,0,0,0.00901556,,0.423538923,,0.074968338,0,0.507522821
93.qha,0.015174627,0,0,0.100188017,,5.45065546,,0.443413258,0.001007795,6.010439157
95.spinningup,0.002142668,0,0,0,,0.006997585,,0.003076792,0.001992702,0.014209747
97.botocore,0.011607409,0.001004696,0.000995159,0.004774094,,0.260982275,,0.031277895,0.001057625,0.311699152
99.requests,0.012917995,0,0,0,,0.029142141,,0.016417265,0,0.058477402
,,,,,,,,,,406.2836375
